,START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,day_wk,new_days,new_days_1
44,1/26/2016 17:27,1/26/2016 17:29,Business,Cary,Cary,0.5,Errand/Supplies,2016-01-26 17:27:00,1,Tuesday
45,1/27/2016 9:24,1/27/2016 9:31,Business,Cary,Cary,1.8,Meeting,2016-01-27 09:24:00,2,Wednesday
46,1/27/2016 10:19,1/27/2016 10:48,Business,Cary,Raleigh,18.7,Customer Visit,2016-01-27 10:19:00,2,Wednesday
47,1/27/2016 12:34,1/27/2016 12:44,Business,Fairmont,Meredith Townes,3.4,Customer Visit,2016-01-27 12:34:00,2,Wednesday
48,1/27/2016 14:05,1/27/2016 14:13,Business,Raleigh,Raleigh,2.7,Customer Visit,2016-01-27 14:05:00,2,Wednesday
49,1/27/2016 14:46,1/27/2016 15:08,Business,Raleigh,Cary,12.9,Customer Visit,2016-01-27 14:46:00,2,Wednesday
50,1/28/2016 12:28,1/28/2016 13:00,Business,Cary,Raleigh,19.0,Temporary Site,2016-01-28 12:28:00,3,Thursday
51,1/28/2016 15:11,1/28/2016 15:31,Business,Meredith Townes,Leesville Hollow,14.7,Meeting,2016-01-28 15:11:00,3,Thursday
52,1/28/2016 16:21,1/28/2016 16:51,Business,Raleigh,Cary,15.7,Meeting,2016-01-28 16:21:00,3,Thursday
53,1/29/2016 9:31,1/29/2016 9:45,Business,Cary,Cary,4.6,Customer Visit,2016-01-29 09:31:00,4,Friday
54,1/29/2016 10:56,1/29/2016 11:07,Business,Cary,Cary,5.2,Meeting,2016-01-29 10:56:00,4,Friday
55,1/29/2016 11:43,1/29/2016 12:03,Business,Cary,Durham,10.4,Meeting,2016-01-29 11:43:00,4,Friday
56,1/29/2016 13:24,1/29/2016 13:47,Business,Durham,Cary,10.1,Meeting,2016-01-29 13:24:00,4,Friday
57,1/29/2016 18:31,1/29/2016 18:52,Business,Cary,Apex,5.8,Errand/Supplies,2016-01-29 18:31:00,4,Friday
58,1/29/2016 21:21,1/29/2016 21:40,Business,Apex,Cary,5.5,Meal/Entertain,2016-01-29 21:21:00,4,Friday
59,1/30/2016 16:21,1/30/2016 16:33,Business,Cary,Apex,5.7,Errand/Supplies,2016-01-30 16:21:00,5,Saturday
60,1/30/2016 18:09,1/30/2016 18:24,Business,Apex,Cary,5.7,Customer Visit,2016-01-30 18:09:00,5,Saturday
61,2/1/2016 10:35,2/1/2016 11:15,Business,Cary,Chapel Hill,19.4,Customer Visit,2016-02-01 10:35:00,0,Monday
62,2/1/2016 12:10,2/1/2016 12:43,Business,Chapel Hill,Cary,23.3,Customer Visit,2016-02-01 12:10:00,0,Monday
63,2/1/2016 12:56,2/1/2016 13:07,Business,Northwoods,Whitebridge,3.9,Meal/Entertain,2016-02-01 12:56:00,0,Monday
64,2/2/2016 13:04,2/2/2016 13:23,Business,Whitebridge,Williamsburg Manor,8.3,Meeting,2016-02-02 13:04:00,1,Tuesday
